,ratio,mean_pos_sim,mean_diff,method,reduction_rate
0,0.1411662721301637,0.730870536458507,0.13589837628780044,Whitening (768x1),768.0
0,0.6138432300870204,0.813950782307024,0.12767384827633477,Whitening (768x2),384.0
0,0.6831927449738272,0.8402126318257922,0.13039207306304756,Whitening (768x4),192.0
0,0.7215016837262028,0.8382521189204533,0.13711516419282443,Whitening (768x6),128.0
0,0.7558096889274164,0.8380177145538451,0.14433094038982586,Whitening (768x8),96.0
0,0.7992198179575234,0.8305369407747901,0.15386273105048298,Whitening (768x12),64.0
0,0.8284933151068583,0.8230028452099262,0.16193424942995516,Whitening (768x16),48.0
0,0.8521321641716401,0.7875306131866988,0.18061492618403685,Whitening (384x12),32.0
0,0.9031107258360284,0.8068780146297218,0.19164330205281777,Whitening (768x32),24.0
0,0.8797386056746574,0.7219248333637673,0.21135364930377754,Whitening (128x6),21.333333333333332
0,0.9049111459340513,0.725569238002139,0.21574859333786822,Whitening (128x8),16.0
0,0.9396525856033074,0.794020633975687,0.2105218387879073,Whitening (768x64),12.0
0,0.9270829860300737,0.7092679907458608,0.22222031676806125,Whitening (64x6),10.666666666666666
0,0.9494882139165806,0.783814580951254,0.22080689513568708,Whitening (768x96),8.0
0,0.9542893341779749,0.7709744507192682,0.22717004412664676,Whitening (768x128),6.0
0,0.9505551295302237,0.7243006367352022,0.2244502112847332,Whitening (64x12),5.333333333333333
0,0.9608908745373921,0.7624519001156398,0.22123274802932635,Whitening (384x96),4.0
0,0.9629246824258993,0.7541053952198673,0.2259896635466222,Whitening (384x128),3.0
0,0.960690827859834,0.7202366699307419,0.22739282927368287,Whitening (32x12),2.6666666666666665
0,0.9657586770246391,0.7326124646449595,0.22691617230081207,Whitening (64x32),2.0
0,0.9673923915580303,0.7341717342283945,0.22778306378569657,Whitening (96x64),1.5
0,0.9671256626546194,0.7330701311038357,0.22854203488247848,Whitening (128x96),1.3333333333333333
