Dimensions	Reduction	MAP	DCG mean	DCG std	Recall mean	Recall std	Algo
2.0	384.0	0.04176116601747495	0.04085124220619749	0.09397399428394776	0.0488011190319944	0.047251041323826494	Siamese
4.0	192.0	0.03457333785268665	0.03427165831023128	0.08716931353674108	0.04549481408110245	0.05416928569247943	Siamese
6.0	128.0	0.049108970294611066	0.04868144081374068	0.09860167738583962	0.06470892873882723	0.06831548858130097	Siamese
8.0	96.0	0.0545574235873339	0.052164122788931816	0.10818908837754204	0.070141606812535	0.077604632642606	Siamese
12.0	64.0	0.052965972115947973	0.0507492193893241	0.10906434677183299	0.12989235836151022	0.18366499371345982	Siamese
16.0	48.0	0.07557197119256645	0.06875732866193031	0.1258555716414503	0.208611477797499	0.23268855936385863	Siamese
24.0	32.0	0.0695652427363229	0.06507125790860821	0.12214265171918813	0.15229646632858132	0.17813123943725942	Siamese
32.0	24.0	0.09648468080075975	0.08419422096126683	0.14546496767780004	0.2785770685765953	0.28675106087792324	Siamese
48.0	16.0	0.08386704491962728	0.07473241502981014	0.12765720143891726	0.24295384961689295	0.2602199848532037	Siamese
64.0	12.0	0.11660197719142616	0.09852372336862054	0.1485491933612455	0.3467343837367989	0.30099427445975246	Siamese
96.0	8.0	0.12160068827197534	0.10212785007743252	0.15802161782834406	0.3426696691715721	0.30304453332538006	Siamese
128.0	6.0	0.13324752749376145	0.11184128220102682	0.1667200202198204	0.40329295171123625	0.3419569599789648	Siamese
192.0	4.0	0.12957468611557124	0.11036159566210675	0.1621494749598335	0.3786768974476238	0.32857694630333084	Siamese
256.0	3.0	0.1503608176160148	0.12625853471899073	0.18226166101681698	0.45399365739504544	0.35416846911781724	Siamese
384.0	2.0	0.15703755801083882	0.13060604533366607	0.17765494684303645	0.47069732103744966	0.3591841412614833	Siamese
