Dimensions	Reduction	MAP	DCG mean	DCG std	Recall mean	Recall std	Algo
384.0	2.0	0.16187747090990975	0.13407001368879432	0.1808045712901765	0.4611879031823904	0.3535944039143538	Averaging
192.0	4.0	0.14733471470845277	0.12180332016381577	0.16301563884980985	0.4363693451675869	0.3445326248123349	Averaging
96.0	8.0	0.1135294814015233	0.0953765998832549	0.13221456565028974	0.38629123324484604	0.3484961568661908	Averaging
64.0	12.0	0.09524847229620172	0.08114476980655683	0.12270367429285833	0.3438810851210147	0.3271503437039575	Averaging
48.0	16.0	0.1022053743009759	0.08735900445799162	0.13442787598999129	0.3346376705004894	0.3327646899918063	Averaging
32.0	24.0	0.0796639269370496	0.06917882658218374	0.12260346020501586	0.28232793432007747	0.3050793998036903	Averaging
24.0	32.0	0.075996808144019	0.06753487328567291	0.13137623546547983	0.25127091503996907	0.2781386445676883	Averaging
16.0	48.0	0.06173800653096899	0.056160594591118385	0.12084289160296678	0.18341745597456632	0.2344986913157704	Averaging
12.0	64.0	0.05087008568182519	0.047589520365863	0.1088265800483014	0.14618076806210278	0.1930152335687645	Averaging
8.0	96.0	0.04325338933539568	0.04190054529412474	0.10304033162591505	0.1077118366112146	0.15548811566838652	Averaging
4.0	192.0	0.03831440137384661	0.03780720688885154	0.09468700821378014	0.06925323955833383	0.10780286535456572	Averaging
2.0	384.0	0.03490385761099896	0.03468887577487627	0.09341709073305685	0.058125397406762085	0.12551777214702667	Averaging
