Dimensions	Reduction	Total query time [s]	Storage [bytes]	index_time_in_millis	MAP	DCG mean	DCG std	Recall mean	Recall std	Algo
768	1	244	1133853641	151491	0.196	0.160 	0.209	0.562	0.37	PCA
384	64 -> 32	112	648751093	40658	0.184	0.150	 0.200	0.536	0.38	PCA
256	384 -> 128	86	490191043	45572	0.189	0.155 	0.209	0.513	0.37	PCA
192	384 -> 96	81	403327085	31048	0.187	0.154	0.210	0.501	0.36	PCA
128	768 -> 128	69	321059575	32960	0.134	0.113	0.175	0.369	0.35	PCA
48	64 -> 4	64	217570237	27524	0.141	0.121	 0.186	0.384	0.36	PCA
32	96 -> 4	49	196510137	22590	0.083	0.076	0.145	0.275	0.29	PCA
6	128 -> 1	41	160036034	21276	0.052 	0.052	0.122	0.112	0.16	PCA
4	192 -> 1	40	156755763	21232	0.039	0.039	0.088	0.064	0.13	PCA
