,ratio,mean_pos_sim,mean_diff,method,reduction_rate
0,0.6382155836361818,0.8363604,0.14595336,Siamese network (768x2),384.0
0,0.7386390157703464,0.8371883,0.17862135,Siamese network (768x4),192.0
0,0.7880505451271963,0.797722,0.22322649,Siamese network (768x6),128.0
0,0.8184242990031008,0.7850021,0.22898304,Siamese network (768x8),96.0
0,0.8560664154969493,0.76769555,0.24199301,Siamese network (768x12),64.0
0,0.8763044710432434,0.7549858,0.24823064,Siamese network (768x16),48.0
0,0.8418964425032508,0.68419355,0.21223527,Siamese network (128x4),32.0
0,0.9125129196812589,0.7311402,0.24937564,Siamese network (768x32),24.0
0,0.9046110759177142,0.71120507,0.21974507,Siamese network (128x8),16.0
0,0.9364184976494515,0.7172733,0.2469356,Siamese network (768x64),12.0
0,0.9432200846864268,0.7100979,0.24704456,Siamese network (768x96),8.0
0,0.9474210649151469,0.7206283,0.22226211,Siamese network (96x16),6.0
0,0.9560897542759977,0.72709036,0.22547078,Siamese network (128x32),4.0
0,0.9598906411496015,0.72701037,0.22469813,Siamese network (96x32),3.0
0,0.9635248224585736,0.72540337,0.22550744,Siamese network (32x16),2.0
