,Unnamed: 0,ratio,mean_pos_sim,mean_diff,method,reduction_rate,Unnamed: 0.1
11,0,0.9596905944720436,0.7325431643508262,0.2299682907534725,Average parts (4),4.0,
16,0,0.960890874537392,0.7624519001156398,0.2212327480293263,Whitening (384x96),4.0,
14,0,0.951389,0.823245,0.146679,Autoencoder (96x32),3.0,0.0
14,0,0.9551895442269864,0.67841923,0.21840423,UMAP (12x4),3.0,
13,0,0.9598906411496017,0.72701037,0.22469813,Siamese network (96x32),3.0,
17,0,0.9629246824258992,0.7541053952198673,0.2259896635466222,Whitening (384x128),3.0,
14,0,0.964224985830027,0.7526913802789528,0.220374446899635,PCA (384x128),3.0,
18,0,0.960690827859834,0.7202366699307419,0.2273928292736828,Whitening (32x12),2.6666666666666665,
12,0,0.9066771877570072,0.4319638601096791,0.1756997286627912,LocallyLinearEmbedding (16x8),2.0,
15,0,0.9630580468776048,0.70084786,0.22442773,UMAP (8x4),2.0,
15,0,0.963291,0.722497,0.227897,Autoencoder (32x16),2.0,0.0
14,0,0.9635248224585736,0.72540337,0.22550744,Siamese network (32x16),2.0,
12,0,0.964124962491248,0.7335704908191606,0.2292375003876755,Average parts (2),2.0,
19,0,0.9657586770246392,0.7326124646449595,0.226916172300812,Whitening (64x32),2.0,
15,0,0.9659920648151236,0.7353493610096503,0.2266562419923498,PCA (64x32),2.0,
20,0,0.9673923915580304,0.7341717342283945,0.2277830637856965,Whitening (96x64),1.5,
21,0,0.9671256626546194,0.7330701311038357,0.2285420348824784,Whitening (128x96),1.3333333333333333,
0,0,0.9683926249458208,0.733018402712927,0.2286068902753066,CLS vector,1.0,
